project_id,report_contract_id,report_year,funding_year,description,project_type,location,region,region_clean,contractor,contractor_clean,cost,cost_numeric,start_date,start_date_iso,completion_date,completion_date_iso,lat,lng
10248,24ND0039,2024,2024,"Construction of Flood Mitigation Structure along Agusan River (Dankias Section) Package 1, Butuan City",,AGUSAN DEL NORTE,XIII,Region XIII,ME 3 CONSTRUCTION,ME 3,"137,272,357.59",137272357.59,05/08/2024,2024-05-08,05/30/2025,2025-05-30,8.759608,125.58247
10250,25ND0048,2025,2025,"Construction of Bank Protection, Lower Agusan River, Barangay Golden Ribbon, Butuan City",,AGUSAN DEL NORTE,XIII,Region XIII,RAMISES CONSTRUCTION,RAMISES,"96,158,174.50",96158174.5,02/12/2025,2025-02-12,05/30/2025,2025-05-30,8.939416,125.543115
3620,24CA0065,2024,2024,"Construction of Flood Mitigation Structure along Orani River, Orani, Bataan",,BATAAN,III,Region III,ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY),ORANI AND SUPPLY (FORMERLY:ORANI & SUPPLY),"48,999,998.54",48999998.54,05/20/2024,2024-05-20,05/28/2025,2025-05-28,14.79185,120.53146
9909,24MC0046,2024,2024,"Construction of Flood Control Dike along Kabacan River Sta. 48 + 620 - Sta. 48 + 944 L/S, Barangay Doles, Magpet, Cotabato",,COTABATO (NORTH COTABATO),XII,Region XII,MAER SUMMIT KONSTRUKT CO.,MAER SUMMIT KONSTRUKT,"96,017,492.67",96017492.67,07/03/2024,2024-07-03,05/27/2025,2025-05-27,7.122604,125.101966
8197,25HN0034,2025,2025,"Construction of Drainage Structure, Barangay Sacsac, Consolacion, Cebu",,CEBU,VII,Region VII,XLA CONSTRUCTION,XLA,"4,939,190.15",4939190.15,02/17/2025,2025-02-17,05/27/2025,2025-05-27,10.397052,123.928082
6206,25ED0055,2025,2025,"Construction of River Control Structure, Bucayao River, Managpi Section, Calapan City, Oriental Mindoro",,ORIENTAL MINDORO,IV-B,IV-B,CEFF TRADING & ENGINEERING SERVICES,CEFF TRADING & ENGINEERING SERVICES,"19,299,949.90",19299949.9,03/13/2025,2025-03-13,05/27/2025,2025-05-27,13.319722,121.205833
6207,25ED0075,2025,2025,"Construction of Drainage System, Mag-Asawang Tubig RIS, Naujan, Oriental Mindoro",,ORIENTAL MINDORO,IV-B,IV-B,CEFF TRADING & ENGINEERING SERVICES / JUWAWI CORPORATION,CEFF TRADING & ENGINEERING SERVICES / JUWAWI,"14,699,999.28",14699999.28,02/18/2025,2025-02-18,05/26/2025,2025-05-26,12.154167,122.009167
9164,24KC0021,2024,2024,"Construction of Flood Mitigation Structure along Cagayan de Oro City-Dominorog-Camp Kibaritan Rd, (Upstream and Downstream) of Pigcutin Bridge, Talakag, Bukidnon",,BUKIDNON,X,Region X,VEN RAY CONSTRUCTION CORPORATION,VEN RAY,"96,500,000.00",96500000.0,02/12/2024,2024-02-12,05/23/2025,2025-05-23,8.035991,124.623852
4491,25CF0012,2025,2025,"Construction of Flood Mitigation Structure along Pampanga River, Barangay Pagas, Cabanatuan City, Nueva Ecija",,NUEVA ECIJA,III,Region III,CELSO C. FERRER CONSTRUCTION CORP.,CELSO C. FERRER,"95,052,371.10",95052371.1,02/20/2025,2025-02-20,05/23/2025,2025-05-23,15.500144,120.949206
4947,25CJ0124,2025,2025,"Construction of Slope Protection Structure along Buenavista Creek at TASMORIS, Tarlac City, Tarlac",,TARLAC,III,Region III,BIG BERTHA CONSTRUCTION & DEVELOPMENT,BIG BERTHA & DEVELOPMENT,"14,229,719.67",14229719.67,01/27/2025,2025-01-27,05/22/2025,2025-05-22,15.427456,120.613964
