project_id,description,location,contractor,cost,completion_date,report_contract_id,start_date,project_type,funding_year,report_year,region,lat,lng
P00824759LZ,"Construction of Babuyan River Flood Control Strucure Downstream (RS), Palawan",PALAWAN,AZARRAGA CONSTRUCTION,17961569.07,2024-05-23,24EG0058,02/15/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,9.99653,118.89245
P00824758LZ,"Construction of Flood Control Strucurue along Langogan River Downstream (LS), Palawan",PALAWAN,AZARRAGA CONSTRUCTION,17369992.99,2024-07-19,24EG0057,02/23/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,9.99761,118.89251
P00824750LZ,"Construction of Babuyan River Flood Control Strucure Upstream (LS), Palawan",PALAWAN,F.F. GALANG CONSTRUCTION,16802607.63,2024-07-24,24EG0017,02/23/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,9.99671,118.89323
P00737551LZ,"Construction of Flood Control Structure, Barangay Maoyon, Puerto Princesa City, Palawan",PALAWAN,PALBIC CONSTRUCTION AND SUPPLY,4899590,2023-05-05,23EG0016,02/15/2023,Construction of Drainage Structure,2023,2023,Region IV-B,10.00265833,118.89970167
P00823565LZ,"Construction of Tanabag River Waterway, (Upstream Rightside), Palawan",PALAWAN,OCTAGON CONCRETE SOLUTIONS INC. / MAC BUILDERS CORP. (FORMERLY: MAC BUILDERS DEVELOPMENT CORPORATION),154395357.94,2024-09-05,24E00127,03/09/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,9.99904334,118.99017684
P00824756LZ,"Construction of Flood Control Strucurue along Langogan River Upstream (LS), Palawan",PALAWAN,MAINTIN CONSTRUCTION & SUPPLY,17369997.4,2024-09-17,24EG0055,02/15/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,10.02967,119.12203
P00824757LZ,"Construction of Flood Control Strucuruealong Langogan River Upstream (RS), Palawan",PALAWAN,LOUIESE TRADING AND CONSTRUCTION,16120415.26,2024-06-25,24EG0056,02/23/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,10.02881,119.12383
P00824760LZ,"Construction of Flood Control Strucurue along Langogan River Downstream (RS), Palawan",PALAWAN,TAGUSAO CONSTRUCTION & TRADING INC. (FORMERLY: TAGUSAO CONSTRUCTION & TRADING),17370000,2024-09-13,24EG0059,02/15/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,10.02751,119.12416
P00726266LZ,"Construction of Magsarongsong Bridge Flood Control Structure, Sta. 0 + 000.00 - Sta. 0 + 084.00, Bank I UPSTREAM (L/S), Sta. 0 + 000.00 - Sta. 0 + 084.00, BANK II UPSTREAM (L/S), Roxas, Palawan",PALAWAN,PANAAD CONSTRUCTION,9014282.42,2023-09-12,23EE0029,04/18/2023,Construction of Flood Mitigation Structure,2023,2023,Region IV-B,10.25288,119.206224
P00821520LZ,"Construction of Slope Protection along Sinucalan River, Barangay Poblacion Norte, Sta. Barbara, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,48248598.38,2024-09-23,24A00250,03/07/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.006788,120.400763
P00820974LZ,"Construction of Flood Control Structure along Tulariquin River (RS), Roxas, Palawan",ISABELA,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC. / F.F. GALANG CONSTRUCTION,48249914.4,2024-12-11,24EE0036,05/20/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,10.147,119.21562
P00820979LZ,"Construction of Slope Protection Structure along Tagumpay Bridge, Roxas, Palawan",ISABELA,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC. / SEVEN DIGIT CONSTRUCTION AND TRUCKING SERVICES CORP. (FORMERLY: SEVEN DIGIT CONSTRUCTION & SUPPLIES),44095477.55,2024-10-15,24EE0020,02/14/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,10.27601,119.22557
P00632934LZ,"Construction of Sea Wall, Barangay Caramay, Roxas, Palawan",PALAWAN,A.P. CONSEBIDO CONSTRUCTION AND TRADING,4949962.82,2022-07-29,22EE0036,02/17/2022,Construction of Flood Mitigation Structure,2022,2022,Region IV-B,10.183842,119.231534
P00844779LZ,"Construction/Improvement of Storm Drainage System at Purok Zambales, Brgy. 3, Roxas, Palawan",ISABELA,M.G.M. CONSTRUCTION,9784647.85,2024-12-20,24EE0113,03/18/2024,Construction of Drainage Structure,2024,2024,Region IV-B,10.32404,119.34648
P00820975LZ,"Construction of Slope Protection Structure along Iraan Bridge, Roxas, Palawan",ISABELA,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC. / SEVEN DIGIT CONSTRUCTION AND TRUCKING SERVICES CORP. (FORMERLY: SEVEN DIGIT CONSTRUCTION & SUPPLIES),44097536.12,2024-10-15,24EE0017,02/14/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,10.42931,119.37435
P00561401LZ,"Construction of Seawall, Brgy. Buenasuerte, El Nido, Palawan",PALAWAN,LOUIESE TRADING AND CONSTRUCTION,7778048.48,2023-06-25,21EE0101,01/24/2022,Construction of Flood Mitigation Structure,2021,2021,Region IV-B,11.18027778,119.3863889
P00820977LZ,"Construction of Slope Protection Structure along Lamoro Bridge 1, El Nido, Palawan",PALAWAN,AR LUSTRE CONSTRUCTION CORPORATION (FORMERLY:A.R. LUSTRE JR. CONSTRUCTION) / A.R.L. CONSTRUCTION,44097774.54,2024-11-19,24EE0074,02/14/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,11.19344,119.41688
P00726267LZ,"Construction of Lamoro Bridge III Flood Control Structure, Sta. 0 + 000 - Sta. 0 + 080.85, El Nido, Palawan",PALAWAN,12-30 CONSTRUCTION AND SUPPLY,8929075.23,2023-12-08,23EE0044,04/18/2023,Construction of Flood Mitigation Structure,2023,2023,Region IV-B,11.243519,119.430384
P00742461LZ,"Construction of Drainage System, Tumarbong, Roxas, Palawan",PALAWAN,AFG CONSTRUCTION CORPORATION,4514354.14,2023-06-29,23EE0063,03/30/2023,Construction of Drainage Structure,2023,2023,Region IV-B,10.379389,119.461795
P00820972LZ,"Construction of Abongan CIS Drainage Canal, Taytay, Palawan",RIZAL,REINASTAR TRADING AND CONSTRUCTION SUPPLY,19598517.1,2024-10-28,24EE0101,02/14/2024,Construction of Drainage Structure,2024,2024,Region IV-B,10.68633,119.46259
P00726264LZ,"Construction of Bato Bridge Flood Control Structure, Taytay, Palawan",PALAWAN,MAC BUILDERS CIVIL ENGINEERING CONSTRUCTION,9064029.8,2023-10-23,23EE0027,03/15/2023,Construction of Flood Mitigation Structure,2023,2023,Region IV-B,10.717258,119.493683
P00820412LZ,"Construction of Slope Protection Structure along Balite Bridge, Taytay, Palawan",RIZAL,JASMIG CONSTRUCTION CORPORATION (FORMERLY: JASMIG CONSTRUCTION SUPPLY),96499967.12,2024-08-27,24EE0055,02/14/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,10.64284,119.496278
P00820414LZ,"Construction of Slope Protection Structure along Talog Bridge, Taytay, Palawan",RIZAL,JASMIG CONSTRUCTION CORPORATION (FORMERLY: JASMIG CONSTRUCTION SUPPLY),96499998.63,2024-09-20,24EE0054,02/14/2024,Construction of Flood Mitigation Structure,2024,2024,Region IV-B,10.64781,119.50026
P00843194LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Boboy Section), Sta. 000+180 - Sta. 000+610, Barangay Boboy, Agno, Pangasinan",PANGASINAN,VILLAR GENERAL CONSTRUCTION AND SUPPLIES / RANIA CONSTRUCTION AND SUPPLIES,96500000,2024-09-25,24AG0137,04/08/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.132714,119.778189
P00843195LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Boboy Section), Sta. 000+610 - Sta. 001+040, Barangay Boboy, Agno, Pangasinan",PANGASINAN,RANIA CONSTRUCTION AND SUPPLIES / JHI CONSTRUCTION & SUPPLY,96500000,2024-09-25,24AG0138,04/08/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.134808,119.781525
P00726326LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Aloleng Section), Sta. 002+019.5 - Sta. 002+536.1, Barangay Aloleng, Agno, Pangasinan",PANGASINAN,SAMANTHA ENTERPRISES / ALCEL CONSTRUCTION,77200000,2023-12-07,23AG0024,03/30/2023,Construction of Flood Mitigation Structure,2023,2023,Region I,16.128232,119.787802
P00820714LZ,"Construction of Flood Mitigation Facilities along Balingcaguing River (Aloleng Section), Sta. 002+059 - Sta. 002+303, Barangay Aloleng, Agno, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION,49000000,2024-05-03,24AG0017,02/05/2024,Construction of Flood Mitigation Structure,2024,2024,Region I,16.131694,119.787876
